Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9
3,0,5,4,2,1,6,7,8
3,2,5,4,7,1,6,0,8
3,2,5,6,4,1,7,0,8
1,0,4,3,5,2,6,7,8
3,0,2,6,1,8,7,5,4
4,3,2,6,1,0,7,8,5
3,1,2,6,5,8,7,0,4
1,2,5,0,3,4,6,7,8
4,3,2,0,8,7,5,1,6
3,1,2,0,4,7,6,8,5
3,1,2,0,6,5,7,4,8
4,3,2,1,7,5,6,0,8
1,7,2,3,5,8,4,0,6
3,1,5,2,7,4,6,0,8
1,0,2,7,4,5,3,6,8
7,1,4,0,5,2,3,6,8
3,0,2,4,1,5,6,7,8
1,4,2,6,3,5,7,0,8
3,0,1,7,5,2,4,6,8
1,6,2,0,3,5,7,4,8
4,0,1,5,3,2,6,7,8
1,2,5,3,8,0,6,4,7
1,0,4,3,7,2,6,8,5
1,4,2,0,8,7,3,6,5
1,2,5,0,7,4,3,6,8
1,0,2,3,6,5,7,4,8
3,0,5,4,2,8,6,1,7
4,5,2,1,6,8,3,0,7
6,4,3,7,2,1,5,0,8
1,2,5,4,6,0,3,7,8
3,1,2,4,7,0,6,8,5
4,2,5,1,3,0,6,7,8
1,4,2,3,5,0,6,7,8
3,2,5,0,4,8,6,1,7
4,0,2,1,3,7,6,8,5
1,4,2,3,5,0,6,7,8
3,1,2,6,4,5,7,0,8
4,0,2,1,3,5,6,7,8
3,0,1,6,8,2,7,5,4
1,0,4,3,5,2,6,7,8
3,4,1,0,8,2,6,7,5
4,3,1,2,5,0,6,8,7
3,0,2,6,1,5,7,4,8
1,4,2,6,3,8,5,0,7
3,5,1,0,4,2,6,7,8
1,4,2,6,3,8,5,0,7
3,5,1,6,4,2,7,0,8
1,2,5,3,8,7,6,0,4
1,0,2,3,4,8,6,5,7
2,5,4,1,7,0,6,8,3
